Run,Winner,BossRemainingHP,BaseRoleRemainingHP,DurationSeconds
1,Boss,10.0,0.0,55.217
2,BaseRole,0.0,62.5,21.033
3,BaseRole,0.0,100.0,19.533
4,BaseRole,0.0,85.0,17.133
5,BaseRole,0.0,85.0,29.750
6,BaseRole,0.0,10.0,35.067
7,BaseRole,0.0,55.0,29.117
8,BaseRole,0.0,85.0,38.483
9,BaseRole,0.0,85.0,16.833
10,BaseRole,0.0,85.0,19.833
11,BaseRole,0.0,85.0,16.217
12,BaseRole,0.0,32.5,33.567
13,BaseRole,0.0,85.0,20.183
14,BaseRole,0.0,77.5,21.633
15,BaseRole,0.0,100.0,12.383
16,BaseRole,0.0,62.5,25.833
17,BaseRole,0.0,100.0,16.550
18,BaseRole,0.0,77.5,16.167
19,BaseRole,0.0,100.0,15.267
20,BaseRole,0.0,40.0,41.717
21,BaseRole,0.0,62.5,31.833
22,BaseRole,0.0,100.0,12.683
23,BaseRole,0.0,17.5,35.783
24,BaseRole,0.0,62.5,24.933
25,BaseRole,0.0,32.5,33.983
26,BaseRole,0.0,2.5,34.533
27,BaseRole,0.0,40.0,32.783
28,BaseRole,0.0,62.5,47.150
29,BaseRole,0.0,85.0,29.417
30,BaseRole,0.0,32.5,35.183
31,BaseRole,0.0,100.0,12.317
32,BaseRole,0.0,100.0,12.567
33,BaseRole,0.0,100.0,15.267
34,BaseRole,0.0,85.0,18.617
35,BaseRole,0.0,77.5,27.983
36,BaseRole,0.0,47.5,33.983
37,BaseRole,0.0,47.5,30.650
38,BaseRole,0.0,62.5,20.133
39,BaseRole,0.0,47.5,29.783
40,BaseRole,0.0,70.0,27.050
41,BaseRole,0.0,47.5,24.567
42,BaseRole,0.0,100.0,13.550
43,BaseRole,0.0,100.0,12.333
44,BaseRole,0.0,70.0,30.333
45,BaseRole,0.0,62.5,19.283
46,BaseRole,0.0,85.0,19.817
47,BaseRole,0.0,100.0,18.633
48,BaseRole,0.0,100.0,13.550
49,BaseRole,0.0,70.0,24.633
50,BaseRole,0.0,85.0,34.817
51,BaseRole,0.0,100.0,21.650
52,BaseRole,0.0,62.5,25.767
53,BaseRole,0.0,55.0,34.833
54,BaseRole,0.0,70.0,21.617
55,BaseRole,0.0,62.5,24.683
56,BaseRole,0.0,100.0,12.333
57,BaseRole,0.0,85.0,23.433
58,BaseRole,0.0,100.0,15.033
59,BaseRole,0.0,100.0,25.167
60,BaseRole,0.0,62.5,24.267
61,BaseRole,0.0,85.0,33.083
62,BaseRole,0.0,40.0,30.017
63,BaseRole,0.0,70.0,22.517
64,BaseRole,0.0,47.5,20.417
65,BaseRole,0.0,85.0,22.767
66,BaseRole,0.0,85.0,17.133
67,BaseRole,0.0,47.5,23.433
68,BaseRole,0.0,70.0,28.467
69,BaseRole,0.0,62.5,20.450
70,BaseRole,0.0,85.0,18.650
71,BaseRole,0.0,100.0,23.733
72,BaseRole,0.0,85.0,21.567
73,BaseRole,0.0,100.0,18.683
74,BaseRole,0.0,62.5,22.833
75,BaseRole,0.0,62.5,23.483
76,BaseRole,0.0,100.0,18.033
77,BaseRole,0.0,77.5,28.467
78,BaseRole,0.0,100.0,20.133
79,BaseRole,0.0,100.0,21.867
80,BaseRole,0.0,62.5,20.133
81,BaseRole,0.0,62.5,25.533
82,BaseRole,0.0,85.0,19.233
83,BaseRole,0.0,62.5,36.933
84,BaseRole,0.0,100.0,22.167
85,BaseRole,0.0,77.5,20.783
86,BaseRole,0.0,47.5,23.133
87,BaseRole,0.0,70.0,28.550
88,BaseRole,0.0,77.5,19.217
89,BaseRole,0.0,100.0,17.433
90,Boss,10.0,0.0,36.867
91,BaseRole,0.0,62.5,26.450
92,BaseRole,0.0,40.0,27.683
93,BaseRole,0.0,2.5,45.983
94,BaseRole,0.0,62.5,20.150
95,BaseRole,0.0,32.5,38.433
96,BaseRole,0.0,70.0,22.517
97,BaseRole,0.0,70.0,23.783
98,BaseRole,0.0,47.5,27.383
99,BaseRole,0.0,40.0,35.967
100,BaseRole,0.0,77.5,24.033
